Tx,Ty,Tz,A1x,A1y,A1z,A2x,A2y,A2z
2.638730499655233541e-01,-9.645574184577568877e-01,-1.037637558817451403e-13,-9.645574184577568877e-01,-2.638730499655233541e-01,1.635047378828081691e-16,-2.753816844827196098e-14,1.000429560089080382e-13,-1.000000000000000000e+00
2.789911060391156439e-01,-9.602936856769761498e-01,-4.785556811744289817e-14,-9.602936856769761498e-01,-2.789911060391155884e-01,3.417368560559225976e-16,-1.367944562424923422e-14,4.586005834421946421e-14,-1.000000000000000000e+00
2.940403252326112549e-01,-9.557930147982356406e-01,-2.135094577821443608e-13,-9.557930147982355296e-01,-2.940403252326112549e-01,9.978386694765348316e-17,-6.287576312951833116e-14,2.040415078608420970e-13,-1.000000000000000000e+00
3.090169943749644377e-01,-9.510565162951478690e-01,-4.785556811746307408e-14,-9.510565162951479801e-01,-3.090169943749644377e-01,3.417524142307876386e-16,-1.511320968427860579e-14,4.540774259525361490e-14,-1.000000000000000000e+00
3.239174181985303713e-01,-9.460853588274148462e-01,-2.135094577818574426e-13,-9.460853588274149573e-01,-3.239174181985303158e-01,9.979340896652331733e-17,-6.925384540879807441e-14,2.019658471552097523e-13,-1.000000000000000000e+00
3.387379202451857862e-01,-9.408807689542635355e-01,-4.785556811798511067e-14,-9.408807689542635355e-01,-3.387379202451858418e-01,3.417687402246092200e-16,-1.653205925154515764e-14,4.491061369732446899e-14,-1.000000000000000000e+00
3.534748437793305276e-01,-9.354440308298396234e-01,-2.135094577819976200e-13,-9.354440308298396234e-01,-3.534748437793305276e-01,9.980279320624848696e-17,-7.556358216206610313e-14,1.996908700311480027e-13,-1.000000000000000000e+00
3.681245526847772287e-01,-9.297764858882119343e-01,-4.785556811771242985e-14,-9.297764858882120453e-01,-3.681245526847772842e-01,3.417858294903565499e-16,-1.793459403427871240e-14,4.436916219907549657e-14,-1.000000000000000000e+00
3.826834323653274250e-01,-9.238795325111882617e-01,-2.135094577818745325e-13,-9.238795325111882617e-01,-3.826834323653274250e-01,9.981201285897207572e-17,-8.179874642220687708e-14,1.972188216385634104e-13,-1.000000000000000000e+00
3.971478906348002158e-01,-9.177546256839727024e-01,-4.785556811745026929e-14,-9.177546256839725913e-01,-3.971478906348002713e-01,3.418036767519165781e-16,-1.931942983839023315e-14,4.378392239529118639e-14,-1.000000000000000000e+00
4.115143586051056568e-01,-9.114032766354466242e-01,-2.319154455230906534e-13,-9.114032766354467352e-01,-4.115143586051056568e-01,5.658430206667551363e-17,-9.548810693336167435e-14,2.113452116993421948e-13,-1.000000000000000000e+00
4.257792915648717647e-01,-9.048270524661140568e-01,2.724086185500578724e-13,-9.048270524661140568e-01,-4.257792915648717647e-01,1.910807350170164265e-16,1.158130536041605093e-13,-2.465640456090021173e-13,-1.000000000000000000e+00
4.399391698557550967e-01,-8.980275757606940301e-01,7.454425034687632251e-14,-8.980275757606940301e-01,-4.399391698557550967e-01,2.192650400499174831e-16,3.259802956275924866e-14,-6.703925570560157096e-14,-1.000000000000000000e+00
4.539904997393376940e-01,-8.910065241884744802e-01,2.724086185501090159e-13,-8.910065241884744802e-01,-4.539904997393376940e-01,1.910749019864452364e-16,1.235006758845879919e-13,-2.428046025635570834e-13,-1.000000000000000000e+00
4.679298142605000654e-01,-8.837656300887322125e-01,7.454425034684987989e-14,-8.837656300887322125e-01,-4.679298142605001209e-01,2.192617689249121211e-16,3.468770120362138803e-14,-6.598224549608344097e-14,-1.000000000000000000e+00
4.817536741014341595e-01,-8.763066800440181270e-01,2.724086185502132717e-13,-8.763066800440181270e-01,-4.817536741014342150e-01,1.910692143043556176e-16,1.310664176146156914e-13,-2.388055404331135050e-13,-1.000000000000000000e+00
4.954586684322923595e-01,-8.686315144382568132e-01,7.454425034689235217e-14,-8.686315144382569242e-01,-4.954586684322924151e-01,2.192588912206817523e-16,3.674313983341966878e-14,-6.486011878977181087e-14,-1.000000000000000000e+00
5.090414157502405335e-01,-8.607420270040209154e-01,2.724086185502583567e-13,-8.607420270040209154e-01,-5.090414157502406445e-01,1.910636771032400618e-16,1.385028123126741091e-13,-2.345708058290055993e-13,-1.000000000000000000e+00
5.224985647159930968e-01,-8.526401643540650888e-01,7.454425034686102492e-14,-8.526401643540650888e-01,-5.224985647159932078e-01,2.192564130783680821e-16,3.876231698998174070e-14,-6.367398302853638452e-14,-1.000000000000000000e+00
5.358267949788093620e-01,-8.443279255021338692e-01,2.724086185502658793e-13,-8.443279255021338692e-01,-5.358267949788093620e-01,1.910582958228451107e-16,1.458025211478319167e-13,-2.301045779437530009e-13,-1.000000000000000000e+00
5.490228179980574108e-01,-8.358073613683190128e-01,7.454425034687673903e-14,-8.358073613683191239e-01,-5.490228179980575218e-01,2.192543401246861177e-16,4.074323999950678106e-14,-6.242500882327602385e-14,-1.000000000000000000e+00
5.620833778522870139e-01,-8.270805742744555822e-01,-1.288419141807335421e-13,-8.270805742744555822e-01,-5.620833778522870139e-01,8.456654236972973410e-17,-7.248984167608874466e-14,1.065151109234327566e-13,-1.000000000000000000e+00
5.750052520434449921e-01,-8.181497174249064974e-01,-1.789982307713799725e-13,-8.181497174249064974e-01,-5.750052520434449921e-01,2.451320128735241930e-16,-1.031254774870923502e-13,1.463063997303164531e-13,-1.000000000000000000e+00
5.877852522925550716e-01,-8.090169943748878323e-01,-1.214795190899757284e-13,-8.090169943748879433e-01,-5.877852522925551826e-01,2.440959188036842324e-18,-7.140584455414535112e-14,9.827756065246681314e-14,-1.000000000000000000e+00
6.004202253259689481e-01,-7.996846584870267449e-01,-1.789982307713035855e-13,-7.996846584870268559e-01,-6.004202253259689481e-01,2.451339951251561570e-16,-1.076701879478311149e-13,1.429949556355438090e-13,-1.000000000000000000e+00
6.129070536530492053e-01,-7.901550123756339028e-01,-1.214795190904083271e-13,-7.901550123756339028e-01,-6.129070536530492053e-01,2.424092766684077795e-18,-7.445756953394158412e-14,9.598616516671223993e-14,-1.000000000000000000e+00
6.252426563358336464e-01,-7.804304073382267726e-01,-1.789982307713822696e-13,-7.804304073382268836e-01,-6.252426563358336464e-01,2.451355246425519804e-16,-1.121086405042634619e-13,1.395423929671420336e-13,-1.000000000000000000e+00
6.374239897487820050e-01,-7.705132427757129809e-01,-1.214795190903956548e-13,-7.705132427757129809e-01,-6.374239897487820050e-01,2.406211634666023084e-18,-7.743581374929273932e-14,9.360004440815451662e-14,-1.000000000000000000e+00
6.494480483303355367e-01,-7.604059655999012568e-01,-1.789982307713410722e-13,-7.604059655999012568e-01,-6.494480483303355367e-01,2.451365954215439937e-16,-1.164364549585758612e-13,1.359521190268847025e-13,-1.000000000000000000e+00
6.613118653238062583e-01,-7.501110696303233683e-01,-1.214795190901940093e-13,-7.501110696303233683e-01,-6.613118653238063693e-01,2.387314702824460531e-18,-8.033763811936042071e-14,9.112155324338346737e-14,-1.000000000000000000e+00
6.730125135098852240e-01,-7.396310949785078748e-01,-1.789982307713865610e-13,-7.396310949785078748e-01,-6.730125135098853351e-01,2.451372027696149932e-16,-1.206493603029778306e-13,1.322276770196655233e-13,-1.000000000000000000e+00
6.845471059287692173e-01,-7.289686274213359463e-01,-8.834874116040586868e-14,-7.289686274213360573e-01,-6.845471059287692173e-01,-2.898028429121832142e-17,-6.045774935574370102e-14,6.442329894784449046e-14,-1.000000000000000000e+00
